Activity Type,Date,Favorite,Title,Distance,Calories,Time,Avg HR,Max HR,Aerobic TE,Avg Run Cadence,Max Run Cadence,Avg Pace,Best Pace,Elev Gain,Elev Loss,Avg Stride Length,Avg Vertical Ratio,Avg Vertical Oscillation,Training Stress Score®,Grit,Flow,Climb Time,[bottom_time],Min Temp,[surface_interval],[decompression],Best Lap Time,Number of Laps,Max Temp
Running,2020-10-18 07:38:05,false,São Caetano do Sul Running,7.05,533,00:42:00,151,166,4.1,161,167,5:58,5:21,26,26,1.04,0.0,0.0,0.0,0.0,0.0,42:00,0:00,0.0,0:00,No,00:16.25,8,0.0
Running,2020-10-16 06:28:35,false,São Caetano do Sul Running,5.08,378,00:31:29,147,167,3.4,158,240,6:12,4:53,54,56,1.02,0.0,0.0,0.0,0.0,0.0,31:29,0:00,0.0,0:00,No,00:23.92,6,0.0
Running,2020-10-13 06:43:42,false,São Caetano do Sul Running,4.28,296,00:30:18,129,155,2.4,156,162,7:05,5:25,42,50,0.91,0.0,0.0,0.0,0.0,0.0,30:18,0:00,0.0,0:00,No,01:45.63,5,0.0
Running,2020-10-11 06:58:55,false,São Caetano do Sul Running,4.80,371,00:29:21,151,183,3.5,160,169,6:07,4:44,16,29,1.02,0.0,0.0,0.0,0.0,0.0,29:21,0:00,0.0,0:00,No,04:56.00,5,0.0
Running,2020-10-10 06:40:09,false,São Caetano do Sul Running,4.51,328,00:28:12,142,163,3.2,158,164,6:15,5:26,17,27,1.01,0.0,0.0,0.0,0.0,0.0,28:12,0:00,0.0,0:00,No,03:32.21,5,0.0
Running,2020-10-06 06:07:57,false,São Caetano do Sul Running,4.51,376,00:30:53,147,165,3.6,157,211,6:51,5:00,76,67,0.93,0.0,0.0,0.0,0.0,0.0,30:53,0:00,0.0,0:00,No,03:02.49,5,0.0
Running,2020-10-01 06:29:32,false,São Caetano do Sul Running,5.01,397,00:30:02,155,174,4.2,160,167,6:00,5:17,28,18,1.04,0.0,0.0,0.0,0.0,0.0,30:02,0:00,0.0,0:00,No,00:00.92,6,0.0
Running,2020-09-24 06:36:10,false,São Caetano do Sul Running,5.03,388,00:32:22,143,166,3.5,158,165,6:26,5:12,39,38,0.98,0.0,0.0,0.0,0.0,0.0,32:22,0:00,0.0,0:00,No,00:10.66,6,0.0
Running,2020-09-23 06:29:31,false,São Caetano do Sul Running,4.79,370,00:30:04,147,168,3.4,159,169,6:16,4:50,62,69,1.00,0.0,0.0,0.0,0.0,0.0,30:04,0:00,0.0,0:00,No,05:19.02,5,0.0
Running,2020-09-20 08:46:10,false,São Caetano do Sul Running,4.51,371,00:30:35,140,163,3.2,158,164,6:47,5:49,27,15,0.93,0.0,0.0,0.0,0.0,0.0,30:35,0:00,0.0,0:00,No,03:42.44,5,0.0
Running,2020-09-17 06:19:11,false,São Caetano do Sul Running,4.52,393,00:30:19,144,164,3.4,158,165,6:42,5:47,31,36,0.94,0.0,0.0,0.0,0.0,0.0,30:19,0:00,0.0,0:00,No,03:51.72,5,0.0
Running,2020-09-16 06:17:49,false,São Caetano do Sul Running,4.67,420,00:30:07,146,165,3.5,157,164,6:27,5:03,24,34,0.99,0.0,0.0,0.0,0.0,0.0,30:07,0:00,0.0,0:00,No,04:34.49,5,0.0
Treadmill Running,2020-09-09 19:12:48,false,Treadmill Running,2.02,218,00:15:55,144,159,2.8,142,147,7:52,6:55,--,--,0.89,0.0,0.0,0.0,0.0,0.0,15:55,0:00,0.0,0:00,No,00:08.59,3,0.0
Cycling,2020-06-07 07:57:06,false,Jaraguá do Sul Cycling,14.71,584,00:53:27,133,178,3.0,--,--,16.5,33.9,56,52,0.00,0.0,0.0,0.0,0.0,0.0,53:27,0:00,0.0,0:00,No,16:39.95,3,0.0
Running,2020-03-15 08:00:30,false,Jaraguá do Sul Running,5.02,345,00:24:59,148,173,3.0,166,182,4:59,0:57,7,346,1.20,0.0,0.0,0.0,0.0,0.0,24:59,0:00,0.0,0:00,No,00:08.28,6,0.0
Running,2020-03-15 07:10:18,false,Jaraguá do Sul Running,4.92,474,00:32:38,155,173,3.6,156,184,6:38,5:15,340,--,0.96,0.0,0.0,0.0,0.0,0.0,32:38,0:00,0.0,0:00,No,05:34.45,5,0.0
Running,2020-03-12 06:41:46,false,Jaraguá do Sul Running,5.02,339,00:31:37,127,151,2.2,156,166,6:18,5:12,9,8,1.02,0.0,0.0,0.0,0.0,0.0,31:37,0:00,0.0,0:00,No,00:08.29,6,0.0
Running,2020-03-10 19:42:32,false,Jaraguá do Sul Running,3.01,220,00:18:31,136,167,2.1,159,166,6:09,2:00,7,13,1.03,0.0,0.0,0.0,0.0,0.0,18:31,0:00,0.0,0:00,No,00:07.08,4,0.0
Running,2020-03-07 08:30:06,false,Jaraguá do Sul Running,12.22,"1,324",01:25:36,165,197,5.0,152,242,7:00,3:55,546,544,0.92,0.0,0.0,0.0,0.0,0.0,1:25:36,0:00,0.0,0:00,No,01:13.74,13,0.0
Running,2020-03-05 06:44:37,false,Jaraguá do Sul - Quinta - último para Jaragua Sky,6.30,459,00:34:59,148,180,3.2,161,178,5:33,3:53,139,141,1.11,0.0,0.0,0.0,0.0,0.0,34:59,0:00,0.0,0:00,No,01:00.00,14,0.0
