Ranking;Modelo;Unidades Vendidas
1º;GM Onix;241214
2º;Ford Ka;104331
3º;Hyundai HB20;101590
4º;Renault Kwid;85117
5º;VW Gol;81285
6º;Fiat Argo;79001
7º;GM Prisma;73721
8º;VW Polo;72057
9º;Jeep Renegade;68726
10º;Jeep Compass;60362
11º;Hyundai Creta;57460
12º;Toyota Corolla;56727
13º ;Nissan Kicks;56062
14º;Fiat Mobi;53444
15º;Ford Ka Sedan;51260
16º;Renault Sandero;50303
17º;Honda HR-V;49488
18º;VW Virtus;46876
19º;VW Fox/Cross Fox;38487
20º;Toyota Yaris Hb;37686
21º;VW T Cross;37081
22º;Hyundai HB20S;34893
23º;Ford EcoSport;34206
24º;VW Voyage;32055
25º;Toyota Yaris Sedan;29759
26º;Renault Captur;28660
27º;GM Spin;28361
28º;Honda Civic;27318
29º;Renault Logan;27003
30º;GM Onix Plus;26852
31º;Renault Duster;26090
32º;Honda Fit;24457
33º;Fiat Cronos;24080
34º;Nissan Versa;21779
35º;Fiat Uno;19928
36º;Toyota Etios Hb;18963
37º;GM Cruze Sedan;17829
38º;Citroen C4 Cactus;16438
39º;GM Tracker;16333
40º;Fiat Siena;16188
41º;Honda City;14578
42º;Toyota Hilux Sw4;13523
43º;VW Up;13460
44º;Toyota Etios Sedan;13305
45º;GM Cobalt;13103
46º;VW Tiguan;13074
47º;Honda WR-V;12160
48º;VW Jetta;11248
49º;Peugeot 2008;8693
50º;Chery Tiggo 5X;7971
